Date Time,Date,Match,Network,Spanish,Visitor,Home
"Sun, Mar 4, 7:30 PM ET",3/4/2018,Sporting Kansas City vs. New York City FC,FS1,No,Sporting Kansas City,New York City FC
"Sun, Mar 4, 10 PM ET",3/4/2018,LA Galaxy vs. Portland Timbers,FS1,No,LA Galaxy,Portland Timbers
"Sat, Mar 31, 3 PM ET",3/31/2018,LA Galaxy vs. LAFC,FOX,No,LA Galaxy,LAFC
"Sun, Apr 8, 9 PM ET",4/8/2018,LA Galaxy vs. Sporting Kansas City,FS1,No,LA Galaxy,Sporting Kansas City
"Sun, Apr 15, 6 PM ET",4/15/2018,Atlanta United vs. New York City FC,FS1,No,Atlanta United,New York City FC
"Sun, Apr 22, 6 PM ET",4/22/2018,Portland Timbers vs. New York City FC,FS1,No,Portland Timbers,New York City FC
"Sun, Apr 29, 9 PM ET",4/29/2018,LAFC vs. Seattle Sounders,FS1,No,LAFC,Seattle Sounders
"Wed, May 9, 7:30 PM ET",5/9/2018,Toronto FC vs. Seattle Sounders,FS1,No,Toronto FC,Seattle Sounders
"Sun, May 13, 6 PM ET",5/13/2018,Orlando City SC vs. Atlanta United,FS1,No,Orlando City SC,Atlanta United
"Sun, May 13, 8:30 PM ET",5/13/2018,LAFC vs. New York City FC,FS1,No,LAFC,New York City FC
"Sat, May 19, 3 PM ET",5/19/2018,Portland Timbers vs. LAFC,FOX,No,Portland Timbers,LAFC
"Sun, May 20, 7 PM ET",5/20/2018,Atlanta United vs. New York Red Bulls,FS1,No,Atlanta United,New York Red Bulls
"Sun, May 27, 6 PM ET",5/27/2018,Sporting Kansas City vs. Columbus Crew SC,FS1,No,Sporting Kansas City,Columbus Crew SC
"Sun, Jun 3, 8:30 PM ET",6/3/2018,Sporting Kansas City vs. Minnesota United FC,FS1,No,Sporting Kansas City,Minnesota United FC
"Sun, Jun 24, 4:30 PM ET",6/24/2018,Atlanta United vs. Portland Timbers,FOX,No,Atlanta United,Portland Timbers
"Sat, Jun 30, 4:30 PM ET",6/30/2018,Seattle Sounders vs. Portland Timbers,FOX,No,Seattle Sounders,Portland Timbers
"Sun, Jul 1, 4:30 PM ET",7/1/2018,Toronto FC vs. New York Red Bulls,FOX,No,Toronto FC,New York Red Bulls
"Sat, Jul 7, 4:30 PM ET",7/7/2018,LAFC vs. Orlando City SC,FOX,No,LAFC,Orlando City SC
"Sun, Jul 8, 7 PM ET",7/8/2018,New York City FC vs. New York Red Bulls,FS1,No,New York City FC,New York Red Bulls
"Sun, Jul 15, 2 PM ET",7/15/2018,Atlanta United vs. Seattle Sounders,FOX,No,Atlanta United,Seattle Sounders
"Sun, Jul 29, 9:30 PM ET",7/29/2018,LA Galaxy vs. Orlando City SC,FS1,No,LA Galaxy,Orlando City SC
"Sun, Aug 5, 6 PM ET",8/5/2018,New York Red Bulls vs. LAFC,FS1,No,New York Red Bulls,LAFC
"Sun, Aug 12, 6 PM ET",8/12/2018,D.C. United vs. Orlando City SC,FS1,No,D.C. United,Orlando City SC
"Sun, Aug 12, 8 PM ET",8/12/2018,Seattle Sounders vs. FC Dallas,FS1,No,Seattle Sounders,FC Dallas
"Sun, Aug 19, 6 PM ET",8/19/2018,D.C. United vs. New England Revolution,FS1,No,D.C. United,New England Revolution
"Wed, Aug 22, 7 PM ET",8/22/2018,New York City FC vs. New York Red Bulls,FS1,No,New York City FC,New York Red Bulls
"Sun, Aug 26, 7 PM ET",8/26/2018,New York Red Bulls vs. D.C. United,FS1,No,New York Red Bulls,D.C. United
"Sun, Aug 26, 9:30 PM ET",8/26/2018,Portland Timbers vs. Seattle Sounders,FS1,No,Portland Timbers,Seattle Sounders
"Sun, Sep 2, 5:30 PM ET",9/2/2018,D.C. United vs. Atlanta United,FS1,No,D.C. United,Atlanta United
"Sun, Sep 16, 5 PM ET",9/16/2018,Chicago Fire vs. Orlando City SC,FS1,No,Chicago Fire,Orlando City SC
"Sun, Sep 23, 7 PM ET",9/23/2018,LA Galaxy vs. Seattle Sounders,FS1,No,LA Galaxy,Seattle Sounders
"Sun, Sep 30, 5 PM ET",9/30/2018,Sporting Kansas City vs. Real Salt Lake,FS1,No,Sporting Kansas City,Real Salt Lake
"Sun, Mar 4, 5 PM ET",3/4/2018,Seattle Sounders vs. LAFC,ESPN,No,Seattle Sounders,LAFC
"Sun, Mar 11, 3 PM ET",3/11/2018,Atlanta United vs. D.C. United,ESPN,No,Atlanta United,D.C. United
"Sat, Mar 31, 9 PM ET",3/31/2018,San Jose Earthquakes vs. New York City FC,ESPN2,No,San Jose Earthquakes,New York City FC
"Sat, Apr 7, 5 PM ET",4/7/2018,Atlanta United vs. LAFC,ESPN,No,Atlanta United,LAFC
"Sun, Apr 8, 4 PM ET",4/8/2018,Orlando City SC vs. Portland Timbers,ESPN,No,Orlando City SC,Portland Timbers
"Fri, Apr 13, 8 PM ET",4/13/2018,Philadelphia Union vs. Orlando City SC,ESPN,No,Philadelphia Union,Orlando City SC
"Sun, Apr 15, 4 PM ET",4/15/2018,Sporting Kansas City vs. Seattle Sounders,ESPN,No,Sporting Kansas City,Seattle Sounders
"Sun, Apr 22, 4 PM ET",4/22/2018,Seattle Sounders vs. Minnesota United FC,ESPN,No,Seattle Sounders,Minnesota United FC
"Sun, Apr 29, 4 PM ET",4/29/2018,Colorado Rapids vs. Orlando City SC,ESPN,No,Colorado Rapids,Orlando City SC
"Sat, May 5, 2 PM ET",5/5/2018,New York Red Bulls vs. New York City FC,ESPN,No,New York Red Bulls,New York City FC
"Sun, May 13, 4 PM ET",5/13/2018,Portland Timbers vs. Seattle Sounders,ESPN,No,Portland Timbers,Seattle Sounders
"Mon, May 28, 8 PM ET",5/28/2018,LAFC vs. D.C. United,ESPN2,No,LAFC,D.C. United
"Sat, Jun 2, 5 PM ET",6/2/2018,Portland Timbers vs. LA Galaxy,ESPN2,No,Portland Timbers,LA Galaxy
"Sat, Jun 9, TBD",6/9/2018,Columbus Crew SC vs. New York Red Bulls,ESPN,No,Columbus Crew SC,New York Red Bulls
"Sat, Jun 30, 7 PM ET",6/30/2018,Atlanta United vs. Orlando City SC,ESPN,No,Atlanta United,Orlando City SC
"Sun, Jul 15, 6 PM ET",7/15/2018,LAFC vs. Portland Timbers,ESPN,No,LAFC,Portland Timbers
"Thu, Jul 26, 8 PM ET",7/26/2018,Orlando City SC vs. New York City FC,ESPN,No,Orlando City SC,New York City FC
"Thu, Jul 26, 10:30 PM ET",7/26/2018,LAFC vs. LA Galaxy,ESPN,No,LAFC,LA Galaxy
"Sat, Jul 28, 9 PM ET",7/28/2018,Portland Timbers vs. Houston Dynamo,ESPN,No,Portland Timbers,Houston Dynamo
"Sun, Jul 29, 5 PM ET",7/29/2018,Seattle Sounders vs. New York City FC,ESPN,No,Seattle Sounders,New York City FC
"Sat, Aug 4, 4 PM ET",8/4/2018,Atlanta United vs. Toronto FC,ESPN,No,Atlanta United,Toronto FC
"Sun, Aug 12, 4 PM ET",8/12/2018,Toronto FC vs. New York City FC,ESPN,No,Toronto FC,New York City FC
"Sat, Aug 18, 3:30 PM ET",8/18/2018,Seattle Sounders vs. LA Galaxy,ESPN,No,Seattle Sounders,LA Galaxy
"Fri, Aug 24, 8 PM ET",8/24/2018,Orlando City SC vs. Atlanta United,ESPN,No,Orlando City SC,Atlanta United
"Fri, Aug 24, 10:30 PM ET",8/24/2018,LA Galaxy vs. LAFC,ESPN,No,LA Galaxy,LAFC
"Sun, Sep 16, 1 PM ET",9/16/2018,D.C. United vs. New York Red Bulls,ESPN,No,D.C. United,New York Red Bulls
"Sun, Sep 23, 1 PM ET",9/23/2018,Philadelphia Union vs. Sporting Kansas City,ESPN,No,Philadelphia Union,Sporting Kansas City
"Sun, Sep 30, 1 PM ET",9/30/2018,New York Red Bulls vs. Atlanta United,ESPN,No,New York Red Bulls,Atlanta United
"Sun, Oct 7, 1 PM ET",10/7/2018,D.C. United vs. Chicago Fire,ESPN,No,D.C. United,Chicago Fire
"Sat, Mar 3, 3:30 PM ET",3/3/2018,Houston Dynamo vs. Atlanta United,Univision,Yes,Houston Dynamo,Atlanta United
"Sat, Mar 10, 3:30 PM ET",3/10/2018,Real Salt Lake vs. LAFC,Univision,Yes,Real Salt Lake,LAFC
"Sat, Mar 17, 3:30 PM ET",3/17/2018,New York City FC vs. Orlando City SC,Univision,Yes,New York City FC,Orlando City SC
"Sat, Mar 24, 3:30 PM ET",3/24/2018,FC Dallas vs. Portland Timbers,Univision,Yes,FC Dallas,Portland Timbers
"Sat, Mar 31, 1:00 PM ET",3/31/2018,Orlando City SC vs. New York Red Bulls,UniMás,Yes,Orlando City SC,New York Red Bulls
"Sat, Apr 7, 3 PM ET",4/7/2018,New York Red Bulls vs. Houston Dynamo,Univision,Yes,New York Red Bulls,Houston Dynamo
"Sat, Apr 14, 3:30 PM ET",4/14/2018,Chicago Fire vs. LA Galaxy,Univision,Yes,Chicago Fire,LA Galaxy
"Sat, Apr 21, 2 PM ET",4/21/2018,New York Red Bulls vs. Chicago Fire,Univision,Yes,New York Red Bulls,Chicago Fire
"Sat, Apr 28, 3:30 PM ET",4/28/2018,Philadelphia Union vs. D.C. United,UniMás,Yes,Philadelphia Union,D.C. United
"Sat, May 5, 4 PM ET",5/5/2018,LAFC vs. FC Dallas,Univision,Yes,LAFC,FC Dallas
"Sat, May 12, 3:30 PM ET",5/12/2018,FC Dallas vs. LA Galaxy,UniMás,Yes,FC Dallas,LA Galaxy
"Sun, May 20, 4 PM ET",5/20/2018,Chicago Fire vs. Houston Dynamo,UniMás,Yes,Chicago Fire,Houston Dynamo
"Fri, May 25, 9 PM ET",5/25/2018,Houston Dynamo vs. New York City FC,UniMás,Yes,Houston Dynamo,New York City FC
"Fri, May 25, 11 PM ET",5/25/2018,LA Galaxy vs. San Jose Earthquakes,UniMás,Yes,LA Galaxy,San Jose Earthquakes
"Sat, Jun 2, 3 PM ET",6/2/2018,Chicago Fire vs. San Jose Earthquakes,Univision,Yes,Chicago Fire,San Jose Earthquakes
"Sat, Jun 23, 6 PM ET",6/23/2018,New York Red Bulls vs. FC Dallas,UniMás,Yes,New York Red Bulls,FC Dallas
"Sat, Jun 30, 10 PM ET",6/30/2018,San Jose Earthquakes vs. LA Galaxy,UniMás,Yes,San Jose Earthquakes,LA Galaxy
"Sat, Jul 21, 3:30 PM ET",7/21/2018,Atlanta United vs. D.C. United,Univision,Yes,Atlanta United,D.C. United
"Thu, Aug 23, 9 PM ET",8/23/2018,Houston Dynamo vs. FC Dallas,UniMás,Yes,Houston Dynamo,FC Dallas
"Sat, Sep 8, 3:30 PM ET",9/8/2018,New York City FC vs. D.C. United,UniMás,Yes,New York City FC,D.C. United
"Sat, Sep 15, 3:30 PM ET",9/15/2018,Colorado Rapids vs. Atlanta United,UniMás,Yes,Colorado Rapids,Atlanta United
"Sat, Sep 22, 3:30 PM ET",9/22/2018,LAFC vs. San Jose Earthquakes,Univision,Yes,LAFC,San Jose Earthquakes
